campus,place_id,name,site,category,borough,street,city,postal_code,state,latitude,longitude,verified
University of Illinois Urbana-Champaign,ChIJ9QRWlUfXDIgR1kVVzyTTG58,Burnham 310,https://burnham310.com/contact/?switch_cls[id]=98541,Apartment building,Midtown,310 E Springfield Ave,Champaign,61820,Illinois,40.1129271,-88.2347027,True
University of Illinois Urbana-Champaign,ChIJN4K33c7XDIgRc3iISMg8KeQ,The Academy Campustown,https://www.theacademycampustown.com/,Apartment complex,Campustown,708 S 6th St,Champaign,61820,Illinois,40.1095997,-88.23011319999999,True
University of Illinois Urbana-Champaign,ChIJ9ZF7HbTQDIgRN3IFh0qIrTY,Ramshaw Real Estate,https://ramshaw.com/,Apartment rental agency,,505 W University Ave,Champaign,61820,Illinois,40.1160003,-88.2508795,True
University of Illinois Urbana-Champaign,ChIJX_L4rUnXDIgR9TAeTC_hgXA,University Group,http://ugroupcu.com/,Apartment rental agency,Midtown,309 S 1st St,Champaign,61820,Illinois,40.1132713,-88.2390489,True
University of Illinois Urbana-Champaign,ChIJKT8w-rLXDIgRl0ZPbWM9JAs,Hub on Campus Champaign - Daniel,https://huboncampus.com/champaign/?utm_source=GoogleMyBusiness,Student housing center,Campustown,812 S 6th St,Champaign,61820,Illinois,40.10814999999999,-88.230137,True
University of Illinois Urbana-Champaign,ChIJreALlzXXDIgRZqemYCoMxfY,Next Chapter Properties,http://www.nextchapterproperties.com/,Property management company,Downtown Champaign,217 S Neil St B,Champaign,61820,Illinois,40.1146098,-88.2438746,False
University of Illinois Urbana-Champaign,ChIJjy21MDbXDIgRG8W0CUaifWM,Bankier Apartments,http://www.bankierapartments.com/,Apartment rental agency,Campustown,406 E Green St,Champaign,61820,Illinois,40.1106605,-88.232315,True
University of Illinois Urbana-Champaign,ChIJh-fkijjXDIgRIJb5AHnEiUM,309 Green,https://www.americancampus.com/student-apartments/il/champaign/309-green,Apartment complex,Campustown,309 E Green St,Champaign,61820,Illinois,40.1100515,-88.2341603,True
University of Illinois Urbana-Champaign,ChIJhVL1izfXDIgRrfXrI_kZw5Q,West Quad,https://www.westquad.com/,Student housing center,Campustown,29 E Green St,Champaign,61820,Illinois,40.1100315,-88.2413648,True
University of Illinois Urbana-Champaign,ChIJVwa4HzHXDIgR5gMN95-tgJk,75 Armory,http://www.75armory.com/,Apartment rental agency,,75 E Armory Ave,Champaign,61820,Illinois,40.104935,-88.23889299999999,True
University of Illinois Urbana-Champaign,ChIJ5Sku2WzXDIgRUv6cWQoX9q0,901 Western,http://901western.com/,Apartment complex,,901 W Western Ave,Urbana,61801,Illinois,40.1120749,-88.2195665,True
University of Illinois Urbana-Champaign,ChIJhVL1izfXDIgRk7TCCsdAoJg,Latitude Apartments,https://www.livelatitude.com/,Apartment complex,,608 E University Ave,Champaign,61820,Illinois,40.1166544,-88.22976419999999,True
University of Illinois Urbana-Champaign,ChIJAQvvyjzRDIgRKOGCxDwF8Fk,Fairlawn,https://www.fairlawnre.com/,Property management company,,2500 Galen Dr UNIT 10,Champaign,61821,Illinois,40.0819865,-88.2623849,True
University of Illinois Urbana-Champaign,ChIJZf6mSDjXDIgRoqhch8Qv118,The Tower at Third,https://www.americancampus.com/student-apartments/il/champaign/tower-at-3rd,Apartment complex,Campustown,302 E John St #100,Champaign,61820,Illinois,40.1092666,-88.2350029,True
